id,name,country,rank,base_url,status,catalogue_url,detail
422,Emory University,United States,182,http://www.emory.edu,ok,https://www.emory.edu/academics,
10314,Indian Institute of Technology Kharagpur (IITKGP),India,215,,no-website,,no domain or web field in our dataset
8045,National Yang Ming Chiao Tung University,"Taiwan, Province of China",199,https://www.nycu.edu.tw,ok,https://www.nycu.edu.tw/nycu/ch/index,
10315,Indian Institute of Science (IISc) Bangalore,India,219,,no-website,,no domain or web field in our dataset
4979,Hokkaido University,Japan,170,http://www.hokudai.ac.jp,timeout,,homepage ERR:timeout
6344,Vrije Universiteit Amsterdam,Netherlands,194,http://www.vu.nl,ok,https://vu.nl/en/education,
10316,Indian Institute of Technology Kanpur (IITK),India,222,,no-website,,no domain or web field in our dataset
1061,"University of Maryland, College Park",United States,207,http://www.umd.edu,robots-disallowed,,robots.txt disallows every candidate path
2625,Tongji University,China,177,http://www.tongji.edu.cn,no-catalogue-found,,homepage reachable; none of the common catalogue paths returned 200
4349,Universitas Indonesia,Indonesia,189,http://www.ui.ac.id,ok,https://www.ui.ac.id/,
7709,Universidad Autónoma de Madrid,Spain,206,http://www.uam.es,no-catalogue-found,,homepage reachable; none of the common catalogue paths returned 200
10317,The University of Newcastle,Australia,227,,no-website,,no domain or web field in our dataset
10318,Université Libre de Bruxelles (ULB),Belgium,227,,no-website,,no domain or web field in our dataset
2221,University of Ottawa,Canada,219,http://www.uottawa.ca,robots-disallowed,,robots.txt disallows every candidate path
10319,University of Lisbon,Portugal,230,,no-website,,no domain or web field in our dataset
6340,University of Twente,Netherlands,203,http://www.utwente.nl,ok,https://webhare.utwente.nl/utlogin/?wrdauth_logincontrol=wxOEgwafQXdAD8Wd_lHsN_mydzNITbuu7OHjJnD2Qms_-cys68dALIIWJXcLAY5kChaVZT7h15guxv_wfJm7iGHWDPZzWIQHSJNrgCbK1WKtUsrQ2XUPnq2IL8ravRuE74KiDO6-uZlSapGLZTxrXCcaKONFiy9UkXVTTU8fdqEOofvTTU9gYhujOUzeu-tFiejICQGqd6GCQxQOXh_sQSBmrhRw0A.nu8FYfC4YcfffUqh.8qcLhrvpPIJZkTcYjor31A,
10320,Universität Erlangen-Nürnberg,Germany,232,,no-website,,no domain or web field in our dataset
2205,University of Calgary,Canada,211,http://www.ucalgary.ca,ok,https://www.ucalgary.ca/system/404,
10321,Universidade Estadual de Campinas (Unicamp),Brazil,233,,no-website,,no domain or web field in our dataset
10322,University of Padova,Italy,233,,no-website,,no domain or web field in our dataset
1538,Queensland University of Technology,Australia,226,http://www.qut.edu.au,blocked-403,,homepage refuses automated access
10323,American University of Beirut (AUB),Lebanon,237,,no-website,,no domain or web field in our dataset
10324,University of Porto,Portugal,237,,no-website,,no domain or web field in our dataset
2272,Universidad de Chile,Chile,173,http://www.uchile.cl,no-catalogue-found,,homepage reachable; none of the common catalogue paths returned 200
1530,La Trobe University,Australia,233,http://www.latrobe.edu.au,blocked-403,,homepage refuses automated access
3252,Ecole Normale Supérieure de Lyon,France,205,http://www.ens-lyon.fr,no-catalogue-found,,homepage reachable; none of the common catalogue paths returned 200
